item_id	resource	role_in_manuscript	canonical_source	version_or_identifier	local_evidence_checked	audit_status	audit_date	boundary_or_required_action
D01	PRINCE clinical/RNA subset	Discovery/internal response association	https://github.com/ParkerICI/prince-trial-data; Padrón et al.	DOI:10.1038/s41591-022-01829-9; fixed commit c01cf276b1cef27e61f7349bccfac37c0c1d6ab7	Official archive SHA256 3f7e268858214ef126eeef2b0004ea80ed66864eecd2419471714068fbf2002a; PICI0002_ph2_clinical.csv SHA256 412A4EE252662F1141DBB96EC4CA4FB743E0655F1ACB6CFC3B161C6D5DD1C7A0; NatureMed_GX_ph2_metadata.csv SHA256 3CACCC58CA644DDD7ACE1EB987CBB8B8065D803394F9214462F58E64FB614141	PASS	2026-09-04	Official public release supports the 38-patient discovery and independent reconstruction; source files are linked, not rehosted, because the repository has no explicit repository-level data licence
D02	GSE179351	PDAC directional-sensitivity comparison	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179351	GEO GSE179351; PMID:35122060; DOI:10.1038/s43018-021-00269-7	GSE179351_family.soft.gz and series matrix in incoming_data/ICI_transcriptomic/GSE179351	PASS	2026-08-29	Official record confirms phase-II radiotherapy plus ipilimumab/nivolumab context; six-patient analytic subset remains directional sensitivity only
D03	GSE248014	Frozen PDAC external transportability audit	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248014	GEO GSE248014; PMID:39532835; DOI:10.1038/s41467-024-52528-7	Local baseline-expression/RECIST mapping audit in data/03_results/feasibility	PASS	2026-08-29	Official record confirms 14-day entinostat lead-in followed by entinostat plus nivolumab; 23 mapped baseline patients and three responders are reported as an audit, not validation
D04	GSE78220	Melanoma cross-cancer boundary cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78220	GEO GSE78220; PMID:26997480; DOI:10.1016/j.cell.2016.02.065	GSE78220_family.soft.gz and series matrix in incoming_data/ICI_transcriptomic/GSE78220	PASS	2026-08-29	Use only as a melanoma boundary analysis
D05	GSE91061	Melanoma cross-cancer boundary cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91061	GEO GSE91061; PMID:29033130; DOI:10.1016/j.cell.2017.09.028	GSE91061_family.soft.gz and series matrix in incoming_data/ICI_transcriptomic/GSE91061	PASS	2026-08-29	Use only as a melanoma boundary analysis
D06	GSE154778	PDAC single-cell myeloid-state context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154778	GEO GSE154778; PMID:32988401; DOI:10.1186/s13073-020-00776-9	GSE154778_dgeMtx.csv.gz; local doublet and sample-mapping outputs	PASS	2026-08-29	Official record confirms ten primary and six metastatic biopsies; analyses are descriptive cell-state context
D07	GSE156405	PDAC single-cell SecAct context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156405	GEO GSE156405; PMID:34426439; DOI:10.1158/1078-0432.CCR-20-3925	GSE156405_RAW.tar; SecAct run metadata	PASS	2026-08-29	Analytic inputs distinguish tumor-biopsy samples from PBMC and exclude special-format PM samples from the primary SecAct comparison
D08	GSE240078	Paired PDAC tumor/stroma GeoMx context	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240078	GEO GSE240078; PMID:40032924; DOI:10.1038/s41698-025-00848-2	GSE240078 quantile-normalized 223-ROI matrix; family SOFT; local mapping audit	PASS	2026-08-29	GEO contains 242 records while the reconciled analytic matrix contains 223 ROIs from 40 paired patients; release lacks geometric coordinates and cell segmentation
D09	CPTAC-PAAD	Matched RNA/total-protein coherence	https://github.com/cBioPortal/datahub/tree/master/public/paad_cptac_2021	cBioPortal paad_cptac_2021; PMID:34534465; DOI:10.1016/j.cell.2021.08.023	data_mrna_seq_v2_rsem.txt; data_protein_quantification.txt; clinical files	PASS	2026-08-29	cBioPortal metadata confirms 140 PDAC cancers; total protein is not a phosphosite or treatment-response readout
D10	TCGA-PAAD RPPA	Protein-state context	https://github.com/cBioPortal/datahub/tree/master/public/paad_tcga_pan_can_atlas_2018	cBioPortal paad_tcga_pan_can_atlas_2018; sensitivity release paad_tcga	PanCancer RPPA/RNA/clinical files and legacy Firehose RPPA file	PASS	2026-08-29	PanCancer Atlas is primary processing release; Firehose is only a processing sensitivity check, never an independent cohort
