evidence_domain	dataset	unit	n	events	candidate_or_module	contrast	effect_direction	effect_size	ci_low	ci_high	p_value	fdr	endpoint	supports_chain_component	independent_or_reused	confounder_adjustment	interpretation	limitation	status	responders	nonresponders
spatial_transcriptomics	GSE240078	patient_label	40		TME complement	NAT vs naive, TME compartment	higher_NAT	0.45201212249531			0.0401723152374342		patient-level spatial score	spatial TME remodeling	independent spatial cohort	none; Wilcoxon on patient-level aggregate	Nominal NAT-associated spatial complement difference in the 40-label analysis; not causal and not fully stable to the unknown four-label crosswalk.	GEO exposes 40 anonymized specimen labels, while the paper reports 36 clinical patients; four longitudinal pre-NAT labels cannot be linked to post-NAT labels from public annotation. All 2,380 possible four-label removals should be treated as a sensitivity bound.	sensitivity_limited		
spatial_transcriptomics	GSE240078	patient_label	40		TME myeloid	NAT vs naive, TME compartment	lower_NAT	-0.0048030495955708			0.622384687163504		patient-level spatial score	myeloid ecology	independent spatial cohort	none; Wilcoxon on patient-level aggregate	Supports treatment-associated spatial remodeling only; not a causal test.	GEO exposes 40 anonymized specimen labels, while the paper reports 36 clinical patients; four longitudinal pre-NAT labels cannot be linked to post-NAT labels from public annotation. All 2,380 possible four-label removals should be treated as a sensitivity bound.	usable_with_annotation_caveat		
spatial_transcriptomics	GSE240078	patient_label	40		TME T-cell	NAT vs naive, TME compartment	lower_NAT	-0.199049074024138			0.978172891950091		patient-level spatial score	T-cell ecology	independent spatial cohort	none; Wilcoxon on patient-level aggregate	Supports treatment-associated spatial remodeling only; not a causal test.	GEO exposes 40 anonymized specimen labels, while the paper reports 36 clinical patients; four longitudinal pre-NAT labels cannot be linked to post-NAT labels from public annotation. All 2,380 possible four-label removals should be treated as a sensitivity bound.	usable_with_annotation_caveat		
spatial_transcriptomics	GSE240078	patient_label	40		TME fibroblast	NAT vs naive, TME compartment	lower_NAT	-0.576663389801162			0.285960182973351		patient-level spatial score	CAF/TME remodeling	independent spatial cohort	none; Wilcoxon on patient-level aggregate	Supports treatment-associated spatial remodeling only; not a causal test.	GEO exposes 40 anonymized specimen labels, while the paper reports 36 clinical patients; four longitudinal pre-NAT labels cannot be linked to post-NAT labels from public annotation. All 2,380 possible four-label removals should be treated as a sensitivity bound.	usable_with_annotation_caveat		
spatial_transcriptomics	GSE240078	ROI/AOI	223		Tumor vs TME complement	tumor vs TME	higher_TME	-1.16154639902037			1.66945927568242e-24		ROI-level spatial score	spatial compartment localization	independent spatial cohort	none; ROI-level descriptive contrast	Describes compartment localization, not patient-level inference.	ROI-level tests can overweight patients with more ROIs; patient-level results are primary.	descriptive		
spatial_transcriptomics	GSE240078	ROI/AOI	223		Tumor vs TME myeloid	tumor vs TME	higher_tumor	0.0194369811684663			0.718662401727348		ROI-level spatial score	spatial TME ecology	independent spatial cohort	none; ROI-level descriptive contrast	Describes compartment localization, not patient-level inference.	ROI-level tests can overweight patients with more ROIs; patient-level results are primary.	descriptive		
spatial_transcriptomics	GSE240078	ROI/AOI	223		Tumor vs TME t_cell	tumor vs TME	higher_TME	-0.930556166930089			1.43651234012529e-13		ROI-level spatial score	spatial TME ecology	independent spatial cohort	none; ROI-level descriptive contrast	Describes compartment localization, not patient-level inference.	ROI-level tests can overweight patients with more ROIs; patient-level results are primary.	descriptive		
spatial_transcriptomics	GSE240078	ROI/AOI	223		Tumor vs TME fibroblast	tumor vs TME	higher_TME	-0.887364527793399			3.55868767974171e-22		ROI-level spatial score	spatial TME ecology	independent spatial cohort	none; ROI-level descriptive contrast	Describes compartment localization, not patient-level inference.	ROI-level tests can overweight patients with more ROIs; patient-level results are primary.	descriptive		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	innate_inflammatory_context	1-SD increase	lower_risk	0.908639295788466	0.660692803675629	1.2496357842219	0.555675731343873	0.648288353234519	overall survival	innate_inflammatory_context	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	innate_input	1-SD increase	lower_risk	0.970855736016539	0.723030806818569	1.30362475743407	0.844067586641474	0.844067586641474	overall survival	innate_input	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	mTORC2_membrane_dynamics	1-SD increase	higher_risk	1.1549561371149	0.784799139327992	1.69970074100944	0.464927633223177	0.648288353234519	overall survival	mTORC2_membrane_dynamics	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	membrane_cytoskeleton	1-SD increase	higher_risk	1.18973904039129	0.919617058614225	1.53920479287779	0.186096842900448	0.591945965386693	overall survival	membrane_cytoskeleton	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	mitochondrial_oxidative	1-SD increase	lower_risk	0.927981112671644	0.746624020071356	1.1533903575631	0.500503445010224	0.648288353234519	overall survival	mitochondrial_oxidative	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	myeloid_ecology	1-SD increase	higher_risk	1.12104022058229	0.932440982163508	1.34778629447114	0.224099476965761	0.591945965386693	overall survival	myeloid_ecology	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	transcriptomic_purity_proxy	1-SD increase	higher_risk	1.1924024100589	0.88144694464487	1.61305625500478	0.253691128022868	0.591945965386693	overall survival	transcriptomic_purity_proxy	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	innate_inflammatory_context	1-SD increase	lower_risk	0.821079745188603	0.564415236194796	1.19446093004885	0.302631118088829	0.465391153907783	overall survival	innate_inflammatory_context	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	innate_input	1-SD increase	lower_risk	0.995137833182424	0.720714050915621	1.37405300447924	0.97637912837938	0.97637912837938	overall survival	innate_input	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	mTORC2_membrane_dynamics	1-SD increase	higher_risk	1.19370704264441	0.838733476614515	1.69891454602542	0.325451059616806	0.465391153907783	overall survival	mTORC2_membrane_dynamics	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	membrane_cytoskeleton	1-SD increase	higher_risk	1.13222241280103	0.893201112771445	1.43520599528969	0.304689109875806	0.465391153907783	overall survival	membrane_cytoskeleton	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	mitochondrial_oxidative	1-SD increase	lower_risk	0.939986794347864	0.766132060175869	1.15329356318223	0.553096352014925	0.645279077350745	overall survival	mitochondrial_oxidative	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	myeloid_ecology	1-SD increase	higher_risk	1.12447729273146	0.956370399795883	1.32213333049469	0.155605046378582	0.465391153907783	overall survival	myeloid_ecology	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	TCGA-PAAD	patient	168	93	transcriptomic_purity_proxy	1-SD increase	higher_risk	1.17563903396526	0.84755768307268	1.6307174907224	0.332422252791273	0.465391153907783	overall survival	transcriptomic_purity_proxy	independent clinical cohort	age + T stage + purity proxy + robust SE	Association after covariate adjustment; not treatment response evidence.	Retrospective cohort; limited sample size and no ICI exposure.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			innate_inflammatory_context	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.01439755533741	0.830980615184748	1.23829892234699	0.888280191621432	0.888280191621432	overall survival	innate_inflammatory_context	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=    0; no ICI treatment endpoint.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			innate_input	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.13313160814666	0.946897744009392	1.35599355844309	0.172452584588807	0.25867887688321	overall survival	innate_input	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=    0; no ICI treatment endpoint.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			mTORC2_membrane_dynamics	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.48302221421646	1.1960709050759	1.83881647695454	0.000328286045057588	0.00196971627034553	overall survival	mTORC2_membrane_dynamics	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=0.5581; no ICI treatment endpoint.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			membrane_cytoskeleton	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.21025204230317	0.992040109580659	1.47646248549177	0.0599425043404054	0.119885008680811	overall survival	membrane_cytoskeleton	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=    0; no ICI treatment endpoint.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			mitochondrial_oxidative	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.23441450320033	0.99641698434259	1.52925852294324	0.0539605346273118	0.119885008680811	overall survival	mitochondrial_oxidative	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=0.1928; no ICI treatment endpoint.	usable		
bulk_transcriptome_survival	GSE62452+GSE85916	patient			myeloid_ecology	fixed-effect pooled, 2 cohorts, 1-SD increase	higher_risk	1.02017793545932	0.842237162376598	1.23571253619496	0.838132477080311	0.888280191621432	overall survival	myeloid_ecology	independent external GEO meta-analysis	cohort-specific Cox; fixed-effect pooling	External survival direction is strongest for mTORC2 membrane dynamics; mitochondrial signal is borderline.	Heterogeneity I2=0.7259; no ICI treatment endpoint.	usable		
proteomics	CPTAC-PAAD (cBioPortal)	sample	140		RICTOR protein	primary tumor vs adjacent normal	lower_tumor	-0.0478000000000023			0.259705137110068	0.515546332655975	protein abundance	tumor mechanism protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics	CPTAC-PAAD (cBioPortal)	sample	140		C3 protein	primary tumor vs adjacent normal	lower_tumor	-0.186900000000001			0.0337804227763753	0.474350015267742	protein abundance	complement protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics	CPTAC-PAAD (cBioPortal)	sample	140		C7 protein	primary tumor vs adjacent normal	higher_tumor	0.0788999999999973			0.363915058345394	0.515546332655975	protein abundance	complement protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics	CPTAC-PAAD (cBioPortal)	sample	140		ROCK2 protein	primary tumor vs adjacent normal	higher_tumor	0.050849999999997			0.163241661438593	0.515546332655975	protein abundance	tumor mechanism protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics	CPTAC-PAAD (cBioPortal)	sample	120		BAK1 protein	primary tumor vs adjacent normal	lower_tumor	-0.1326			0.0776454094529511	0.474350015267742	protein abundance	tumor mechanism protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics	CPTAC-PAAD (cBioPortal)	sample	140		PPIF protein	primary tumor vs adjacent normal	higher_tumor	0.15795			0.303485477946818	0.515546332655975	protein abundance	tumor mechanism protein support	independent CPTAC proteomics	none; tumor-normal Wilcoxon	Orthogonal protein-layer check; C3 is nominally lower in tumor but not FDR-significant.	Adjacent normal is not a matched normal for every patient; platform/protein coverage differs.	exploratory		
proteomics_survival	CPTAC-PAAD (cBioPortal)	patient	63	34	RICTOR protein	1-SD increase	higher_risk	1.39176161251802	0.968740731826299	1.99950339904369	0.0737482242452868	0.768153537062636	overall survival	protein-level survival support	independent CPTAC proteomics	age-adjusted Cox	Directionally supportive only when nominal; no FDR-significant protein OS result.	Small effective sample and no ICI endpoint.	exploratory		
proteomics_survival	CPTAC-PAAD (cBioPortal)	patient	52	29	BAK1 protein	1-SD increase	higher_risk	1.43975008064368	0.909034345269506	2.28031020554995	0.120312701947256	0.768153537062636	overall survival	protein-level survival support	independent CPTAC proteomics	age-adjusted Cox	Directionally supportive only when nominal; no FDR-significant protein OS result.	Small effective sample and no ICI endpoint.	exploratory		
phosphoproteomics	CPTAC-PAAD (cBioPortal)	phosphosite	77		RPS6KB1 S404	primary tumor vs adjacent normal	lower_tumor	-1.011285325			0.000208633731110352	0.00897125043774513	phosphosite abundance	mTOR downstream phosphorylation	independent CPTAC phosphoproteomics	none; tumor-normal Wilcoxon	Most consistent phosphosite-level signal in the current audit.	Phosphosite abundance is not identical to pathway activity; FDR must be respected.	FDR_supported		
phosphoproteomics	CPTAC-PAAD (cBioPortal)	phosphosite	140		RPS6KB1 T421	primary tumor vs adjacent normal	lower_tumor	-0.445575659999999			1.02839427528443e-06	8.8441907674461e-05	phosphosite abundance	mTOR downstream phosphorylation	independent CPTAC phosphoproteomics	none; tumor-normal Wilcoxon	Most consistent phosphosite-level signal in the current audit.	Phosphosite abundance is not identical to pathway activity; FDR must be respected.	FDR_supported		
