broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance
BRD-K18619710-001-14-4	digoxigenin	steroid		15	15	-3.30302843001	-1.96140625754	-1.34162217247	0.1844100692216365	1.0	steroid 	other
BRD-K94441233-001-13-0	mevastatin	HMGCR inhibitor	HMGCR	14	13	-0.871275016126	0.449779366506	-1.321054382632	0.007076941978404361	1.0	hmgcr inhibitor hmgcr	other
BRD-K13390322-001-06-3	AT-7519	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CDK6, CDK9	14	15	-4.590827541575	-3.35312993242	-1.237697609155	0.08472204560508317	1.0	cdk inhibitor cdk1, cdk2, cdk4, cdk5, cdk6, cdk9	other
BRD-K67844266-003-01-9	pevonedistat	nedd activating enzyme inhibitor	NAE1, UBA3	15	15	-1.93013288496	-0.82628958874	-1.10384329622	0.1985058531538877	1.0	nedd activating enzyme inhibitor nae1, uba3	other
BRD-K72414522-001-06-7	AZD5438	CDK inhibitor	KCNH2	15	15	-3.41526185535	-2.39708962857	-1.01817222678	0.21337370709311831	1.0	cdk inhibitor kcnh2	other
BRD-K45528773-001-07-2	M-344	HDAC inhibitor		14	13	-4.0248961976299995	-3.06168287972	-0.9632133179099993	0.39576568734555584	1.0	hdac inhibitor 	other
BRD-K92093830-003-30-8	doxorubicin	topoisomerase inhibitor	TOP2A	15	15	-4.25779638767	-3.29796178306	-0.9598346046100001	0.9009714934164412	1.0	topoisomerase inhibitor top2a	other
BRD-K88510285-001-11-1	bortezomib	NFkB pathway inhibitor, proteasome inhibitor	PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA	15	15	-4.6544313316	-3.72418648423	-0.9302448473699996	0.2997583700887151	1.0	nfkb pathway inhibitor, proteasome inhibitor psma1, psma2, psma3, psma4, psma5, psma6, psma7, psma8, psmb1, psmb10, psmb11, psmb2, psmb3, psmb4, psmb5, psmb6, psmb7, psmb8, psmb9, psmd1, psmd2, rela	other
BRD-K42436189-001-01-2	AZ20	ATR kinase inhibitor	ATR, MTOR	15	15	-1.62235298837	-0.709203730403	-0.9131492579670001	0.17106923105635186	1.0	atr kinase inhibitor atr, mtor	prespecified_pathway_related
BRD-K58122457-001-02-2	hesperadin	Aurora kinase inhibitor	AURKB	15	15	-3.5642749687	-2.66313380322	-0.9011411654799999	0.28084201086629845	1.0	aurora kinase inhibitor aurkb	other
