feature_a	feature_b	n	spearman_rho	p_value	fdr
Akt_total	Akt_pS473	122	0.2904061515889512	0.001175143167973463	0.002783233818884518
Akt_total	Akt_pT308	122	-0.1937902524940437	0.03245457115044276	0.048681856725664135
Akt_total	mTOR_total	122	0.6989237362906078	3.502570776783145e-19	1.5761568495524153e-17
Akt_total	mTOR_pS2448	122	0.43206849491608307	6.716431023095806e-07	2.5186616336609273e-06
Akt_total	Rictor_total	122	0.14442157021488924	0.11249021741319563	0.14463027953125152
Akt_total	Rictor_pT1135	122	-0.23187088800843297	0.010174081736941018	0.017608987621628686
Akt_total	p70S6K_total	122	0.565311065656382	1.171203670988368e-11	1.0540833038895313e-10
Akt_total	p70S6K_pT389	122	-0.10404102821681246	0.2541036203003238	0.30091218193459396
Akt_total	PRAS40_pT246	122	0.20377634070338807	0.024367213066378107	0.03781119268920741
Akt_pS473	Akt_pT308	122	0.6822758499905823	5.01572572314655e-18	1.1285382877079738e-16
Akt_pS473	mTOR_total	122	0.15320483376897176	0.09203805514501949	0.1218150729860552
Akt_pS473	mTOR_pS2448	122	0.6258025715333702	1.2875279847987417e-14	1.537140592496716e-13
Akt_pS473	Rictor_total	122	0.219657591508851	0.01505769231992051	0.02509537624292065
Akt_pS473	Rictor_pT1135	122	0.06262949365708262	0.4931437880975499	0.5283683443902321
Akt_pS473	p70S6K_total	122	0.21849442041365275	0.01561490077337285	0.02509537624292065
Akt_pS473	p70S6K_pT389	122	0.17954140657786472	0.04783910483949904	0.06944386186378892
Akt_pS473	PRAS40_pT246	122	0.5602023653348578	1.9573185771993772e-11	1.467988932899533e-10
Akt_pT308	mTOR_total	122	-0.26106912606858085	0.003678828677706399	0.006897803770699498
Akt_pT308	mTOR_pS2448	122	0.3332980857243879	0.00017588609869403639	0.0005276582960821092
Akt_pT308	Rictor_total	122	0.12567204523149417	0.16780898039320358	0.20409200318092327
Akt_pT308	Rictor_pT1135	122	0.3970147478198803	5.967392461350145e-06	2.0656358520058195e-05
Akt_pT308	p70S6K_total	122	-0.13277003248287464	0.14487953185688165	0.18109941482110206
Akt_pT308	p70S6K_pT389	122	0.30127122704637155	0.0007459894816363319	0.0018649737040908297
Akt_pT308	PRAS40_pT246	122	0.44543835358418615	2.730586948417128e-07	1.1170582970797343e-06
mTOR_total	mTOR_pS2448	122	0.4611345544426857	9.026751229063696e-08	4.0620380530786636e-07
mTOR_total	Rictor_total	122	0.06525984647463329	0.4751283256780568	0.521482308671038
mTOR_total	Rictor_pT1135	122	-0.394847019869738	6.776409558068778e-06	2.1781316436649643e-05
mTOR_total	p70S6K_total	122	0.6253267288126071	1.366347193330414e-14	1.537140592496716e-13
mTOR_total	p70S6K_pT389	122	-0.09737923012613137	0.2859472555776384	0.3299391410511212
mTOR_total	PRAS40_pT246	122	0.3014496680666577	0.0007403333833214537	0.0018649737040908297
mTOR_pS2448	Rictor_total	122	0.26827285614679747	0.002811465999118944	0.005750725907288749
mTOR_pS2448	Rictor_pT1135	122	0.018706566959992864	0.8379537186696591	0.8769283102356896
mTOR_pS2448	p70S6K_total	122	0.265748246156083	0.0030918384700856865	0.00604924918060243
mTOR_pS2448	p70S6K_pT389	122	0.2891041930335304	0.0012394515001257476	0.0027887658752829324
mTOR_pS2448	PRAS40_pT246	122	0.4903856639162517	9.833772609314973e-09	5.531497092739672e-08
Rictor_total	Rictor_pT1135	122	-0.07991183691812531	0.3815907971718151	0.429289646818292
Rictor_total	p70S6K_total	122	0.1668522673575198	0.06622909102496341	0.09031239685222284
Rictor_total	p70S6K_pT389	122	-0.013849005852204574	0.8796603497748905	0.8996526304515926
Rictor_total	PRAS40_pT246	122	0.007821664722540735	0.931859891642847	0.931859891642847
Rictor_pT1135	p70S6K_total	122	-0.4616566596501895	8.692071013879955e-08	4.0620380530786636e-07
Rictor_pT1135	p70S6K_pT389	122	0.523588911542821	6.087864414534566e-10	3.9136271236293636e-09
Rictor_pT1135	PRAS40_pT246	122	0.255041784938917	0.0045815603251372185	0.008246808585246993
p70S6K_total	p70S6K_pT389	122	-0.27897931736396353	0.0018599506509884862	0.00398560853783247
p70S6K_total	PRAS40_pT246	122	0.316663417277717	0.00038005780588590363	0.001068912579054104
p70S6K_pT389	PRAS40_pT246	122	0.17508698999738947	0.053741038587999765	0.07557333551437467
