feature_a	feature_b	n	spearman_rho	p_value	fdr	test_family
Akt_total	Akt_pS473	122	0.2904061515889512	0.0011751431679734	0.0027832338188845	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	Akt_pT308	122	-0.1937902524940437	0.0324545711504427	0.0486818567256641	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	mTOR_total	122	0.6989237362906078	3.502570776783145e-19	1.5761568495524153e-17	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	mTOR_pS2448	122	0.432068494916083	6.716431023095806e-07	2.5186616336609277e-06	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	Rictor_total	122	0.1444215702148892	0.1124902174131956	0.1446302795312515	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	Rictor_pT1135	122	-0.2318708880084329	0.010174081736941	0.0176089876216286	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	p70S6K_total	122	0.565311065656382	1.171203670988368e-11	1.0540833038895311e-10	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	p70S6K_pT389	122	-0.1040410282168124	0.2541036203003238	0.3009121819345939	BH across the complete targeted RPPA pairwise-feature association set
Akt_total	PRAS40_pT246	122	0.203776340703388	0.0243672130663781	0.0378111926892074	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	Akt_pT308	122	0.6822758499905823	5.0157257231465496e-18	1.1285382877079738e-16	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	mTOR_total	122	0.1532048337689717	0.0920380551450194	0.1218150729860552	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	mTOR_pS2448	122	0.6258025715333702	1.2875279847987416e-14	1.5371405924967161e-13	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	Rictor_total	122	0.219657591508851	0.0150576923199205	0.0250953762429206	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	Rictor_pT1135	122	0.0626294936570826	0.4931437880975499	0.5283683443902321	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	p70S6K_total	122	0.2184944204136527	0.0156149007733728	0.0250953762429206	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	p70S6K_pT389	122	0.1795414065778647	0.047839104839499	0.0694438618637889	BH across the complete targeted RPPA pairwise-feature association set
Akt_pS473	PRAS40_pT246	122	0.5602023653348578	1.957318577199377e-11	1.4679889328995327e-10	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	mTOR_total	122	-0.2610691260685808	0.0036788286777063	0.0068978037706994	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	mTOR_pS2448	122	0.3332980857243879	0.000175886098694	0.0005276582960821	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	Rictor_total	122	0.1256720452314941	0.1678089803932035	0.2040920031809232	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	Rictor_pT1135	122	0.3970147478198803	5.967392461350145e-06	2.0656358520058195e-05	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	p70S6K_total	122	-0.1327700324828746	0.1448795318568816	0.181099414821102	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	p70S6K_pT389	122	0.3012712270463715	0.0007459894816363	0.0018649737040908	BH across the complete targeted RPPA pairwise-feature association set
Akt_pT308	PRAS40_pT246	122	0.4454383535841861	2.730586948417128e-07	1.1170582970797345e-06	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	mTOR_pS2448	122	0.4611345544426857	9.026751229063696e-08	4.062038053078664e-07	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	Rictor_total	122	0.0652598464746332	0.4751283256780568	0.521482308671038	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	Rictor_pT1135	122	-0.394847019869738	6.776409558068778e-06	2.1781316436649643e-05	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	p70S6K_total	122	0.6253267288126071	1.366347193330414e-14	1.5371405924967161e-13	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	p70S6K_pT389	122	-0.0973792301261313	0.2859472555776384	0.3299391410511212	BH across the complete targeted RPPA pairwise-feature association set
mTOR_total	PRAS40_pT246	122	0.3014496680666577	0.0007403333833214	0.0018649737040908	BH across the complete targeted RPPA pairwise-feature association set
mTOR_pS2448	Rictor_total	122	0.2682728561467974	0.0028114659991189	0.0057507259072887	BH across the complete targeted RPPA pairwise-feature association set
mTOR_pS2448	Rictor_pT1135	122	0.0187065669599928	0.8379537186696591	0.8769283102356896	BH across the complete targeted RPPA pairwise-feature association set
mTOR_pS2448	p70S6K_total	122	0.265748246156083	0.0030918384700856	0.0060492491806024	BH across the complete targeted RPPA pairwise-feature association set
mTOR_pS2448	p70S6K_pT389	122	0.2891041930335304	0.0012394515001257	0.0027887658752829	BH across the complete targeted RPPA pairwise-feature association set
mTOR_pS2448	PRAS40_pT246	122	0.4903856639162517	9.833772609314973e-09	5.5314970927396726e-08	BH across the complete targeted RPPA pairwise-feature association set
Rictor_total	Rictor_pT1135	122	-0.0799118369181253	0.3815907971718151	0.429289646818292	BH across the complete targeted RPPA pairwise-feature association set
Rictor_total	p70S6K_total	122	0.1668522673575198	0.0662290910249634	0.0903123968522228	BH across the complete targeted RPPA pairwise-feature association set
Rictor_total	p70S6K_pT389	122	-0.0138490058522045	0.8796603497748905	0.8996526304515926	BH across the complete targeted RPPA pairwise-feature association set
Rictor_total	PRAS40_pT246	122	0.0078216647225407	0.931859891642847	0.931859891642847	BH across the complete targeted RPPA pairwise-feature association set
Rictor_pT1135	p70S6K_total	122	-0.4616566596501895	8.692071013879955e-08	4.062038053078664e-07	BH across the complete targeted RPPA pairwise-feature association set
Rictor_pT1135	p70S6K_pT389	122	0.523588911542821	6.087864414534565e-10	3.9136271236293636e-09	BH across the complete targeted RPPA pairwise-feature association set
Rictor_pT1135	PRAS40_pT246	122	0.255041784938917	0.0045815603251372	0.0082468085852469	BH across the complete targeted RPPA pairwise-feature association set
p70S6K_total	p70S6K_pT389	122	-0.2789793173639635	0.0018599506509884	0.0039856085378324	BH across the complete targeted RPPA pairwise-feature association set
p70S6K_total	PRAS40_pT246	122	0.316663417277717	0.0003800578058859	0.0010689125790541	BH across the complete targeted RPPA pairwise-feature association set
p70S6K_pT389	PRAS40_pT246	122	0.1750869899973894	0.0537410385879997	0.0755733355143746	BH across the complete targeted RPPA pairwise-feature association set
